[2025-09-30T20:34:08.124Z] ERROR: ErrorHandler ["Request error",{"path":"/api/content/collections","method":"GET","error":"Database not initialized","stack":"Error: Database not initialized\n    at DatabaseManager.getDb (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\services\\DatabaseManager.ts:61:13)\n    at DatabaseManager.getDirectories (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\services\\DatabaseManager.ts:78:21)\n    at <anonymous> (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\routes\\content.ts:31:34)"}]
[2025-09-30T21:16:54.342Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:16:54.342Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:16:54.343Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:10.527Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:18.279Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:24.504Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:38.130Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:38.134Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:19:38.135Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
[2025-09-30T21:21:12.644Z] ERROR: ErrorHandler ["Request error",{"path":"/api/health","method":"GET","error":"Not allowed by CORS","stack":"Error: Not allowed by CORS\n    at origin (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\src\\index.ts:77:16)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:219:13\n    at optionsCallback (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:199:9)\n    at corsMiddleware (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\cors\\lib\\index.js:204:7)\n    at Layer.handleRequest (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\lib\\layer.js:152:17)\n    at trimPrefix (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:342:13)\n    at D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:297:9\n    at processParams (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:582:12)\n    at next (D:\\Lupo\\Source\\Portfolio\\worktrees\\backend-api\\src\\backend\\node_modules\\router\\index.js:291:5)\n    at internalNext (file:///D:/Lupo/Source/Portfolio/worktrees/backend-api/src/backend/node_modules/helmet/index.mjs:527:6)"}]
